Rank,Name,Tagline,Votes,Comments,URL,Website,Topics,Description,Created At
1,Skybridge,The full-stack open source React framework for MCP Apps,0,23,https://www.producthunt.com/products/skybridge?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/WYDUMMA2RJODS7?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Open Source, Developer Tools, Artificial Intelligence","MCP apps are the new website: they're real, interactive apps that run right inside AI assistants like ChatGPT and Claude. The tooling to build them didn't exist, so we built it. Meet Skybridge, the React framework that handles the infrastructure and the dev loop so you can focus on your features: MCP server, view rendering, client compatibility, testing tunnel, and more. Code once, ship everywhere. Already +500K downloads and dozens of apps in the stores!",2026-06-22T07:01:00.000Z
2,Alai 2.0,"AI design partner for presentations, social posts, and more",0,6,https://www.producthunt.com/products/alai?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/FXYXCM6UIMQ5YE?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Design Tools, Productivity, Artificial Intelligence","Alai captures every little detail about your brand in a design system. Use it to create presentations, social assets, ads, or any canvas size, all perfectly on-brand. Make precise edits manually or with AI. And choose your own AI models to balance cost, quality, and latency.",2026-06-22T07:01:00.000Z
3,AgentX - AI Agent evaluation framework,"Evaluate AI agent, pinpoint issues, and fix with one click.",0,16,https://www.producthunt.com/products/agentx?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/MAKIXB6C4DMJG6?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Analytics, Developer Tools, Artificial Intelligence","Evaluate AI agents before they fail. Create test suites, run evaluations, and pinpoint issues before they reach production. AgentX provides full observability and traceability for your AI agents. AI analysis not only identifies problems but also suggests fixes-like an AI doctor for your agents. Simulate run your agents across multiple LLM providers to compare performance, cost, and latency, helping you make better decisions about which LLM to go. Run eval before deploy. Like CI/CD for AI agents.",2026-06-22T07:01:00.000Z
4,Cloudflare Temporary Accounts,Let agents deploy before signup,0,2,https://www.producthunt.com/products/cloudflare?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/WFEAPNZTIKAUTV?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Developer Tools, Artificial Intelligence","The moment an agent needs to deploy something, it slams face-first into a wall built for humans. Today we're rolling out Temporary Accounts on Cloudflare Workers. Any agent can now run wrangler deploy — temporary and get a live Worker in seconds.",2026-06-22T07:01:00.000Z
5,AirJelly,"Your Proactive, Self-Organizing Second Brain",0,2,https://www.producthunt.com/products/airjelly?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/PMQKFXXQ5WQB2C?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, Artificial Intelligence, Virtual Assistants","AirJelly is an always-on desktop AI agent that proactively captures your intent, organizes your tasks, and gets things done. By observing your on-screen activities, it knows who you are and what you're working on. It doesn't just spot your to-dos — it foresees what's next and acts. It also tracks your personal interactions, so you'll never miss a follow-up or forget a promise. Everything in your life is managed by AirJelly — freeing your time for what AI can't do, or simply for you to enjoy.",2026-06-22T07:01:00.000Z
6,Selector Forge,Browser extension for AI-generated resilient selectors,0,4,https://www.producthunt.com/products/selector-forge?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/JB3WOBST7RHX4L?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Chrome Extensions, Open Source, Developer Tools","Browser extension to create reliable CSS and XPath selectors using AI. You can use it to create a selector for a single element or for an array of elements. The selectors it creates are meant to be ""semantic"" and more resilient to page changes! Extension is also open source on GitHub: https://github.com/Intuned/selector-forge",2026-06-22T07:01:00.000Z
7,MediaSeg,Split large media files into upload-ready chunks on macOS,0,2,https://www.producthunt.com/products/mediaseg?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/CDZ6CXPO4JXUDC?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Mac, Productivity, Meetings, GitHub","MediaSeg is a local macOS utility that splits large media files into upload-ready chunks while preserving quality. It was produced and directed with full AI assistance, and shipped in 2 days from idea to public release. Originally created to streamline long-recording upload prep, MediaSeg is useful for NotebookLM and other size-limited upload destinations.",2026-06-22T07:01:00.000Z
8,HAQQ Legal AI on Mobile,Bringing legal understanding to anyone with a phone,0,2,https://www.producthunt.com/products/haqq-mobile-app?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/ICAKRVUKEN25TG?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Legal, Artificial Intelligence","We built HAQQ because understanding legal situations shouldn’t depend on who you know or whether you can afford to “just ask a lawyer.” Today, HAQQ Legal AI is available on mobile. Upload a contract. Ask a legal question. Get structured, jurisdiction-aware legal work with risk flags and exportable outputs. Not generic chat. Legal reasoning powered by Justinian®. Know exactly where you stand, wherever you are.",2026-06-22T07:01:00.000Z
9,Agentic Document Extraction,Make the world's documents computable ,0,1,https://www.producthunt.com/products/agentic-document-extraction?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/NRV6TH5TKJQAN5?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"API, Developer Tools","LandingAI is on a mission to make the world's documents computable. Agentic Document Extraction helps enterprise developers build document automation pipelines at scale. Accurate, auditable, API-driven document AI.",2026-06-22T07:01:00.000Z
10,Clawd,A context-aware browser mascot with 100% local offline AI,0,7,https://www.producthunt.com/products/clawd-the-context-aware-browser-pet?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/YMDF4CNQMIWJYC?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Chrome Extensions, Productivity, Developer Tools, Artificial Intelligence, GitHub","Meet Clawd, the context-aware browser pet that truly understands your vibe. Clawd crawls your screen, reacts to website sentiment, and levels up to unlock 140+ animations. He’s more than just a mascot. Use the new voice-enabled Chat to talk to him in custom personas (Sarcastic, Gen Z), complete with Markdown support and text-to-speech! Best of all? It’s 100% offline and privacy-first. Your data never leaves your machine. Clawd is your ultimate browsing companion!",2026-06-22T07:01:00.000Z
